data,continuation
"[1624942800000, 146.33, 146.33, 121.09, 123.22]",
"[1624946400000, 123.19, 146.07, 119.96, 145.56]",
"[1624950000000, 145.56, 146.75, 145.56, 145.87]",
"[1624953600000, 145.87, 146.53, 120.98, 121.68]",
"[1624957200000, 121.67, 147.33, 121.37, 146.39]",
"[1624960800000, 146.39, 147.98, 129.3, 129.3]",
"[1624964400000, 129.3, 144.17, 123.13, 123.65]",
"[1624968000000, 123.65, 164.25, 123.04, 147.19]",
"[1624971600000, 147.19, 150.46, 147.14, 150.44]",
"[1624975200000, 150.44, 153.61, 129.52, 146.38]",
"[1624978800000, 146.38, 148.06, 145.55, 147.74]",
"[1624982400000, 147.74, 148.14, 147.74, 147.85]",
"[1624986000000, 147.85, 148.51, 147.85, 148.33]",
"[1624989600000, 148.32, 148.45, 147.52, 147.69]",
"[1624993200000, 147.69, 148.8, 147.49, 148.5]",
"[1624996800000, 148.5, 150.23, 145.54, 150.16]",
"[1625000400000, 150.16, 150.17, 148.91, 148.93]",
"[1625004000000, 148.93, 148.93, 148.63, 148.8]",
"[1625007600000, 148.8, 149.7, 148.73, 149.24]",
"[1625011200000, 149.24, 150.15, 149.05, 149.91]",
"[1625014800000, 149.91, 149.97, 149.79, 149.94]",
"[1625018400000, 149.93, 150.14, 125.37, 130.22]",
"[1625022000000, 130.35, 151.46, 123.94, 149.98]",
"[1625025600000, 149.98, 149.98, 133.3, 142.8]",
"[1625029200000, 142.8, 143.39, 142.69, 143.35]",
"[1625032800000, 143.35, 145.62, 143.0, 143.09]",
"[1625036400000, 143.09, 143.09, 127.32, 127.93]",
"[1625040000000, 127.93, 137.92, 124.66, 126.49]",
"[1625043600000, 126.49, 138.22, 126.44, 127.2]",
"[1625047200000, 127.17, 138.85, 117.86, 129.28]",
"[1625050800000, 129.28, 138.88, 128.67, 129.09]",
"[1625054400000, 129.09, 146.58, 128.96, 146.58]",
"[1625058000000, 146.58, 155.47, 143.05, 155.11]",
"[1625061600000, 155.11, 156.88, 141.26, 144.86]",
